,CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,Regexes,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
0,09/11/2021,2023-05-03 02:39:00,,,[41.61924193],[41.57385019],,WHITESTONE EXPRESSWAY,20 AVENUE,09.6192.5738,,2.0,0.0,0,0,0,0,2,0,Aggressive Driving/Road Rage,Unspecified,,,,4455765,Sedan,Sedan,,,
1,03/26/2022,2023-05-03 11:45:00,,,[46.2831186],[38.6198608],,QUEENSBORO BRIDGE UPPER,,03.2831.6198,,1.0,0.0,0,0,0,0,1,0,Pavement Slippery,,,,,4513547,Sedan,,,,
2,06/29/2022,2023-05-03 06:55:00,,,[42.28312726],[41.43007463],,THROGS NECK BRIDGE,,06.2831.4300,,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4541903,Sedan,Pick-up Truck,,,
3,09/11/2021,2023-05-03 09:35:00,BROOKLYN,11208.0,40.667202,-73.8665,"(40.667202, -73.8665)",,,09.6672.8665,1211      LORING AVENUE,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,4456314,Sedan,,,,
4,12/14/2021,2023-05-03 08:13:00,BROOKLYN,11233.0,40.683304,-73.917274,"(40.683304, -73.917274)",SARATOGA AVENUE,DECATUR STREET,12.6833.9172,,0.0,0.0,0,0,0,0,0,0,,,,,,4486609,,,,,
5,04/14/2021,2023-05-03 12:47:00,,,[37.66746336],[41.94023794],,MAJOR DEEGAN EXPRESSWAY RAMP,,04.6674.9402,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4407458,Dump,Sedan,,,
6,12/14/2021,2023-05-03 17:05:00,,,40.709183,-73.956825,"(40.709183, -73.956825)",BROOKLYN QUEENS EXPRESSWAY,,12.7091.9568,,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4486555,Sedan,Tractor Truck Diesel,,,
7,12/14/2021,2023-05-03 08:17:00,BRONX,10475.0,40.86816,-73.83148,"(40.86816, -73.83148)",,,12.8681.8314,344       BAYCHESTER AVENUE,2.0,0.0,0,0,0,0,2,0,Unspecified,Unspecified,,,,4486660,Sedan,Sedan,,,
8,12/14/2021,2023-05-03 21:10:00,BROOKLYN,11207.0,40.67172,-73.8971,"(40.67172, -73.8971)",,,12.6717.8971,2047      PITKIN AVENUE,0.0,0.0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,4487074,Sedan,,,,
9,12/14/2021,2023-05-03 14:58:00,MANHATTAN,10017.0,40.75144,-73.97397,"(40.75144, -73.97397)",3 AVENUE,EAST 43 STREET,12.7514.9739,,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4486519,Sedan,Station Wagon/Sport Utility Vehicle,,,
10,12/13/2021,2023-05-03 00:34:00,,,40.701275,-73.88887,"(40.701275, -73.88887)",MYRTLE AVENUE,,12.7012.8888,,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4486934,Station Wagon/Sport Utility Vehicle,,,,
11,12/14/2021,2023-05-03 16:50:00,QUEENS,11413.0,40.675884,-73.75577,"(40.675884, -73.75577)",SPRINGFIELD BOULEVARD,EAST GATE PLAZA,12.6758.7557,,0.0,0.0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4487127,Sedan,Station Wagon/Sport Utility Vehicle,,,
12,12/14/2021,2023-05-03 08:30:00,,,[43.78587796],[40.51242796],,broadway,west 80 street -west 81 street,12.7858.5124,,0.0,0.0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4486634,Station Wagon/Sport Utility Vehicle,Sedan,,,
